,id_aeroporto,mese,anno,impattiTotali,impattiConDanni,conEffettiSulVolo,numeroMovimenti
3685,7,FEBBRAIO,2018,0.0,0.0,0.0,2543.0
3686,7,MARZO,2018,0.0,0.0,0.0,3208.0
3687,7,APRILE,2018,1.0,0.0,0.0,3963.0
3688,7,MAGGIO,2018,1.0,0.0,0.0,4630.0
3689,7,GIUGNO,2018,5.0,0.0,0.0,5096.0
3690,7,LUGLIO,2018,3.0,0.0,0.0,5717.0
3691,7,AGOSTO,2018,4.0,0.0,0.0,5910.0
3692,7,SETTEMBRE,2018,1.0,0.0,0.0,4632.0
3693,7,OTTOBRE,2018,5.0,0.0,0.0,4434.0
3694,7,NOVEMBRE,2018,1.0,0.0,0.0,2878.0
3695,7,DICEMBRE,2018,1.0,0.0,0.0,2997.0
4176,7,GENNAIO,2019,2.0,0.0,0.0,2930.0
4177,7,FEBBRAIO,2019,3.0,0.0,0.0,2242.0
4178,7,MARZO,2019,0.0,0.0,0.0,2242.0
4179,7,APRILE,2019,4.0,0.0,1.0,2653.0
4180,7,MAGGIO,2019,,,,
4181,7,GIUGNO,2019,,,,
4182,7,LUGLIO,2019,,,,
4183,7,AGOSTO,2019,,,,
4184,7,SETTEMBRE,2019,,,,
4185,7,OTTOBRE,2019,,,,
4186,7,NOVEMBRE,2019,,,,
4187,7,DICEMBRE,2019,,,,
