,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
75,7,2013-08-19 00:00:00,2013-08-19 08:16:00,Nessuno,7,6.0,1.0,
77,7,2013-09-05 00:00:00,2013-09-05 11:10:00,,7,6.0,1.0,
78,7,2013-09-10 00:00:00,2013-09-10 11:16:00,,30,11.0,1.0,
79,7,2013-09-11 00:00:00,2013-09-11 17:26:00,,7,6.0,1.0,
81,7,2013-09-19 00:00:00,2013-09-19 15:32:00,,1440,10.0,1.0,
82,7,2013-09-04 00:00:00,2013-09-04 17:42:00,,1440,10.0,1.0,
83,7,2013-10-01 00:00:00,2013-10-01 09:29:00,,36,5.0,1.0,
84,7,2013-10-04 00:00:00,2013-10-04 16:04:00,Nessuno,1453,7.0,1.0,
85,7,2013-10-24 00:00:00,2013-10-24 06:00:00,,31,17.0,1.0,
86,7,2014-01-29 08:45:46,2014-01-29 08:45:46,,23,5.0,1.0,
87,7,2014-01-31 10:59:27,2014-01-31 10:59:27,,23,5.0,1.0,
88,7,2014-04-07 00:00:00,2014-04-07 16:58:00,,1453,7.0,1.0,
89,7,2014-04-14 00:00:00,2014-04-14 05:50:00,,1447,16.0,1.0,
90,7,2014-05-03 00:00:00,2014-05-03 08:40:00,Nessuno,39,5.0,1.0,
91,7,2014-05-08 00:00:00,2014-05-08 07:43:00,Nessuno,2,7.0,1.0,
92,7,2014-05-21 00:00:00,2014-05-21 17:35:00,,7,6.0,1.0,
93,7,2014-05-25 00:00:00,2014-05-25 17:25:00,,7,6.0,1.0,
94,7,2014-05-30 00:00:00,2014-05-30 10:30:00,,13,12.0,1.0,
95,7,2014-06-17 00:00:00,2014-06-17 20:51:00,,13,12.0,1.0,
96,7,2014-06-19 00:00:00,2014-06-19 23:52:00,,25,13.0,1.0,
97,7,2014-07-09 17:38:16,2014-07-09 17:38:16,,7,6.0,1.0,
98,7,2014-07-29 16:37:43,2014-07-29 16:37:43,,14,12.0,1.0,
99,7,2014-07-30 10:25:05,2014-07-30 10:25:05,,2,7.0,2.0,
100,7,2014-08-10 00:00:00,2014-08-10 22:30:00,,48,11.0,1.0,
101,7,2014-08-18 00:00:00,2014-08-18 07:12:00,,23,5.0,1.0,
102,7,2014-09-04 11:09:05,2014-09-04 11:09:05,,7,6.0,1.0,
103,7,2014-09-08 11:46:43,2014-09-08 11:46:43,,23,5.0,1.0,
104,7,2014-09-11 09:03:06,2014-09-11 09:03:06,,38,8.0,1.0,
105,7,2014-09-17 00:00:00,2014-09-16 20:10:00,Nessuno,1440,10.0,1.0,
106,7,2014-09-17 18:23:34,2014-09-17 18:23:34,,7,6.0,1.0,
107,7,2014-09-19 14:48:17,2014-09-19 14:48:17,,7,6.0,1.0,
108,7,2014-10-01 00:00:00,2014-10-01 12:15:00,,38,8.0,1.0,
109,7,2014-11-06 00:00:00,2014-11-06 08:36:00,Atterraggio precauzionale,38,8.0,30.0,
110,7,2014-11-17 00:00:00,2014-11-17 12:21:00,,2,7.0,1.0,
111,7,2014-12-12 00:00:00,2014-12-12 12:57:00,,15,15.0,3.0,
112,7,2015-01-01 14:47:43,2015-01-01 14:47:43,,367,14.0,1.0,
113,7,2014-12-16 00:00:00,2014-12-16 12:30:00,,2,7.0,1.0,
114,7,2015-01-19 00:00:00,2015-01-10 10:30:00,,1447,16.0,1.0,
115,7,2015-01-26 14:47:21,2015-01-26 14:47:21,,7,6.0,1.0,
116,7,2015-01-27 14:47:35,2015-01-27 14:47:35,,23,5.0,1.0,
